,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
1798,SUPERHOUSE,Superhouse Limited,EQ,26-SEP-2014,10,1,INE712B01010,10
1799,SUPERSPIN,Super Spinning Mills Limited,EQ,08-JUL-2004,1,1,INE662A01027,1
1800,SUPRAJIT,Suprajit Engineering Limited,EQ,18-FEB-2005,1,1,INE399C01030,1
1801,SUPREME,Supreme Holdings & Hospitality (India) Limited,EQ,03-FEB-2025,10,1,INE822E01011,10
1802,SUPREMEENG,Supreme Engineering Limited,BE,04-DEC-2020,1,1,INE319Z01021,1
1803,SUPREMEIND,Supreme Industries Limited,EQ,19-JUL-1995,2,1,INE195A01028,2
1804,SUPREMEINF,Supreme Infrastructure India Limited,BZ,18-OCT-2007,10,1,INE550H01011,10
1805,SUPRIYA,Supriya Lifescience Limited,EQ,28-DEC-2021,2,1,INE07RO01027,2
1806,SURAJEST,Suraj Estate Developers Limited,EQ,26-DEC-2023,5,1,INE843S01025,5
1807,SURAJLTD,Suraj Limited,EQ,29-AUG-2024,10,1,INE713C01016,10
1808,SURAKSHA,Suraksha Diagnostic Limited,EQ,06-DEC-2024,2,1,INE877V01027,2
1809,SURANASOL,Surana Solar Limited,EQ,07-JAN-2011,5,1,INE272L01022,5
1810,SURANAT&P,Surana Telecom and Power Limited,EQ,22-MAY-2002,1,1,INE130B01031,1
1811,SURYALAXMI,Suryalakshmi Cotton Mills Limited,EQ,15-JUN-2005,10,1,INE713B01026,10
1812,SURYAROSNI,Surya Roshni Limited,EQ,10-MAY-1995,5,1,INE335A01020,5
1813,SURYODAY,Suryoday Small Finance Bank Limited,EQ,26-MAR-2021,10,1,INE428Q01011,10
1814,SUTLEJTEX,Sutlej Textiles and Industries Limited,BE,14-DEC-2006,1,1,INE645H01027,1
1815,SUULD,Suumaya Industries Limited,BZ,19-OCT-2020,10,1,INE591Q01016,10
1816,SUVEN,Suven Life Sciences Limited,EQ,23-OCT-2003,1,1,INE495B01038,1
1817,SUVENPHAR,Suven Pharmaceuticals Limited,EQ,09-MAR-2020,1,1,INE03QK01018,1
1818,SUVIDHAA,Suvidhaa Infoserve Limited,EQ,31-MAR-2021,1,1,INE018401013,1
1819,SUYOG,Suyog Telematics Limited,BE,20-AUG-2024,10,1,INE442P01014,10
1820,SUZLON,Suzlon Energy Limited,EQ,19-OCT-2005,2,1,INE040H01021,2
1821,SVLL,Shree Vasu Logistics Limited,EQ,21-APR-2023,10,1,INE00CE01017,10
1822,SVPGLOB,SVP GLOBAL TEXTILES LIMITED,BE,14-JUL-2021,1,1,INE308E01029,1
1823,SWANENERGY,Swan Energy Limited,EQ,29-MAY-2012,1,1,INE665A01038,1
1824,SWARAJENG,Swaraj Engines Limited,EQ,06-DEC-1995,10,1,INE277A01016,10
1825,SWELECTES,Swelect Energy Systems Limited,BE,09-MAY-2006,10,1,INE409B01013,10
1826,SWIGGY,Swiggy Limited,EQ,13-NOV-2024,1,1,INE00H001014,1
1827,SWSOLAR,Sterling and Wilson Renewable Energy Limited,EQ,20-AUG-2019,1,1,INE00M201021,1
1828,SYMPHONY,Symphony Limited,EQ,15-JUN-2011,2,1,INE225D01027,2
1829,SYNCOMF,Syncom Formulations (India) Limited,EQ,18-NOV-2022,1,1,INE312C01025,1
1830,SYNGENE,Syngene International Limited,EQ,11-AUG-2015,10,1,INE398R01022,10
1831,SYRMA,Syrma SGS Technology Limited,EQ,26-AUG-2022,10,1,INE0DYJ01015,10
1832,TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,EQ,27-JUL-1995,10,1,INE123C01018,10
1833,TAJGVK,Taj GVK Hotels & Resorts Limited,EQ,20-DEC-2000,2,1,INE586B01026,2
